2025-01-07 16:47:48,376 - Starting new run
2025-01-07 16:47:48,377 - Active threads: 14, Memory usage: 0.22 GB, CPU: 12
2025-01-07 16:48:48,379 - Active threads: 190, Memory usage: 0.44 GB, CPU: 12
2025-01-07 16:49:48,384 - Active threads: 177, Memory usage: 0.32 GB, CPU: 12
2025-01-07 16:50:48,387 - Active threads: 261, Memory usage: 0.32 GB, CPU: 12
2025-01-07 16:51:48,388 - Active threads: 238, Memory usage: 0.32 GB, CPU: 12
2025-01-07 16:52:48,389 - Active threads: 238, Memory usage: 0.26 GB, CPU: 12
2025-01-07 16:53:48,391 - Active threads: 238, Memory usage: 0.26 GB, CPU: 12
2025-01-07 16:54:48,393 - Active threads: 238, Memory usage: 0.27 GB, CPU: 12
2025-01-07 16:55:48,394 - Active threads: 239, Memory usage: 0.27 GB, CPU: 12
2025-01-07 16:56:48,395 - Active threads: 239, Memory usage: 0.28 GB, CPU: 12
2025-01-07 16:57:48,397 - Active threads: 239, Memory usage: 0.28 GB, CPU: 12
2025-01-07 16:58:48,398 - Active threads: 239, Memory usage: 0.28 GB, CPU: 12
