2024-09-03 15:21:37,340 - Starting new run
2024-09-03 15:21:37,340 - Active threads: 2, Memory usage: 0.14 GB, CPU: 12
2024-09-03 15:22:37,341 - Active threads: 24, Memory usage: 0.36 GB, CPU: 12
2024-09-03 15:23:37,346 - Active threads: 132, Memory usage: 0.42 GB, CPU: 12
2024-09-03 15:24:37,347 - Active threads: 144, Memory usage: 0.42 GB, CPU: 12
2024-09-03 15:25:37,348 - Active threads: 193, Memory usage: 0.49 GB, CPU: 12
2024-09-03 15:26:37,353 - Active threads: 146, Memory usage: 0.46 GB, CPU: 12
2024-09-03 15:27:37,353 - Active threads: 105, Memory usage: 0.35 GB, CPU: 12
2024-09-03 15:28:37,355 - Active threads: 158, Memory usage: 0.41 GB, CPU: 12
2024-09-03 15:29:37,357 - Active threads: 137, Memory usage: 0.44 GB, CPU: 12
2024-09-03 15:30:37,358 - Active threads: 143, Memory usage: 0.48 GB, CPU: 12
2024-09-03 15:31:37,359 - Active threads: 143, Memory usage: 0.47 GB, CPU: 12
2024-09-03 15:32:37,360 - Active threads: 189, Memory usage: 0.54 GB, CPU: 12
2024-09-03 15:33:37,361 - Active threads: 137, Memory usage: 0.45 GB, CPU: 12
2024-09-03 15:34:37,439 - Active threads: 109, Memory usage: 0.38 GB, CPU: 12
2024-09-03 15:35:37,447 - Active threads: 213, Memory usage: 0.41 GB, CPU: 12
2024-09-03 15:36:37,448 - Active threads: 143, Memory usage: 0.45 GB, CPU: 12
2024-09-03 15:37:37,449 - Active threads: 159, Memory usage: 0.40 GB, CPU: 12
2024-09-03 15:38:37,449 - Active threads: 162, Memory usage: 0.36 GB, CPU: 12
2024-09-03 15:39:37,450 - Active threads: 194, Memory usage: 0.56 GB, CPU: 12
2024-09-03 15:40:37,451 - Active threads: 213, Memory usage: 0.38 GB, CPU: 12
2024-09-03 15:41:37,452 - Active threads: 213, Memory usage: 0.43 GB, CPU: 12
2024-09-03 15:42:37,453 - Active threads: 135, Memory usage: 0.53 GB, CPU: 12
2024-09-03 15:43:37,455 - Active threads: 155, Memory usage: 0.50 GB, CPU: 12
2024-09-03 15:44:37,456 - Active threads: 161, Memory usage: 0.40 GB, CPU: 12
2024-09-03 15:45:37,457 - Active threads: 213, Memory usage: 0.44 GB, CPU: 12
2024-09-03 15:46:37,469 - Active threads: 153, Memory usage: 0.43 GB, CPU: 12
2024-09-03 15:47:37,474 - Active threads: 154, Memory usage: 0.47 GB, CPU: 12
2024-09-03 15:48:37,477 - Active threads: 140, Memory usage: 0.48 GB, CPU: 12
2024-09-03 15:49:37,477 - Active threads: 220, Memory usage: 0.53 GB, CPU: 12
2024-09-03 15:50:37,478 - Active threads: 145, Memory usage: 0.49 GB, CPU: 12
2024-09-03 15:51:37,494 - Active threads: 230, Memory usage: 0.49 GB, CPU: 12
2024-09-03 15:52:37,495 - Active threads: 207, Memory usage: 0.43 GB, CPU: 12
2024-09-03 15:53:37,498 - Active threads: 219, Memory usage: 0.55 GB, CPU: 12
2024-09-03 15:54:37,503 - Active threads: 140, Memory usage: 0.47 GB, CPU: 12
2024-09-03 15:55:37,505 - Active threads: 210, Memory usage: 0.49 GB, CPU: 12
2024-09-03 15:56:37,513 - Active threads: 152, Memory usage: 0.39 GB, CPU: 12
2024-09-03 15:57:37,515 - Active threads: 114, Memory usage: 0.40 GB, CPU: 12
2024-09-03 15:58:37,524 - Active threads: 135, Memory usage: 0.48 GB, CPU: 12
2024-09-03 15:59:37,525 - Active threads: 138, Memory usage: 0.48 GB, CPU: 12
2024-09-03 16:00:37,525 - Active threads: 160, Memory usage: 0.42 GB, CPU: 12
2024-09-03 16:01:37,759 - Active threads: 265, Memory usage: 0.43 GB, CPU: 12
2024-09-03 16:02:37,764 - Active threads: 146, Memory usage: 0.46 GB, CPU: 12
2024-09-03 16:03:37,774 - Active threads: 162, Memory usage: 0.43 GB, CPU: 12
2024-09-03 16:04:37,776 - Active threads: 278, Memory usage: 0.46 GB, CPU: 12
2024-09-03 16:05:37,777 - Active threads: 139, Memory usage: 0.49 GB, CPU: 12
2024-09-03 16:06:37,779 - Active threads: 216, Memory usage: 0.46 GB, CPU: 12
2024-09-03 16:07:37,788 - Active threads: 141, Memory usage: 0.44 GB, CPU: 12
2024-09-03 16:08:37,793 - Active threads: 156, Memory usage: 0.47 GB, CPU: 12
2024-09-03 16:09:37,934 - Active threads: 151, Memory usage: 0.49 GB, CPU: 12
2024-09-03 16:10:37,946 - Active threads: 153, Memory usage: 0.43 GB, CPU: 12
2024-09-03 16:11:37,962 - Active threads: 139, Memory usage: 0.56 GB, CPU: 12
2024-09-03 16:12:37,964 - Active threads: 265, Memory usage: 0.56 GB, CPU: 12
2024-09-03 16:13:38,195 - Active threads: 156, Memory usage: 0.43 GB, CPU: 12
2024-09-03 16:14:38,206 - Active threads: 158, Memory usage: 0.49 GB, CPU: 12
2024-09-03 16:15:38,207 - Active threads: 140, Memory usage: 0.47 GB, CPU: 12
2024-09-03 16:16:38,208 - Active threads: 211, Memory usage: 0.50 GB, CPU: 12
2024-09-03 16:17:38,211 - Active threads: 142, Memory usage: 0.51 GB, CPU: 12
2024-09-03 16:18:38,213 - Active threads: 158, Memory usage: 0.50 GB, CPU: 12
2024-09-03 16:19:38,214 - Active threads: 151, Memory usage: 0.51 GB, CPU: 12
2024-09-03 16:20:38,216 - Active threads: 143, Memory usage: 0.51 GB, CPU: 12
2024-09-03 16:21:38,217 - Active threads: 143, Memory usage: 0.49 GB, CPU: 12
2024-09-03 16:22:38,217 - Active threads: 151, Memory usage: 0.51 GB, CPU: 12
2024-09-03 16:23:38,354 - Active threads: 154, Memory usage: 0.48 GB, CPU: 12
2024-09-03 16:24:38,355 - Active threads: 220, Memory usage: 0.61 GB, CPU: 12
2024-09-03 16:25:38,357 - Active threads: 162, Memory usage: 0.44 GB, CPU: 12
2024-09-03 16:26:38,361 - Active threads: 162, Memory usage: 0.47 GB, CPU: 12
2024-09-03 16:27:38,364 - Active threads: 254, Memory usage: 0.62 GB, CPU: 12
2024-09-03 16:28:38,370 - Active threads: 151, Memory usage: 0.53 GB, CPU: 12
2024-09-03 16:29:38,374 - Active threads: 151, Memory usage: 0.51 GB, CPU: 12
2024-09-03 16:30:38,375 - Active threads: 162, Memory usage: 0.46 GB, CPU: 12
2024-09-03 16:31:38,376 - Active threads: 150, Memory usage: 0.47 GB, CPU: 12
2024-09-03 16:32:38,377 - Active threads: 261, Memory usage: 0.56 GB, CPU: 12
2024-09-03 16:33:38,382 - Active threads: 155, Memory usage: 0.52 GB, CPU: 12
2024-09-03 16:34:38,606 - Active threads: 197, Memory usage: 0.45 GB, CPU: 12
2024-09-03 16:35:38,608 - Active threads: 114, Memory usage: 0.49 GB, CPU: 12
