2024-09-17 10:48:18,915 - Starting new run
2024-09-17 10:48:18,926 - Active threads: 19, Memory usage: 0.23 GB, CPU: 12
2024-09-17 10:49:18,928 - Active threads: 132, Memory usage: 0.41 GB, CPU: 12
2024-09-17 10:50:18,929 - Active threads: 148, Memory usage: 0.41 GB, CPU: 12
2024-09-17 10:51:18,932 - Active threads: 148, Memory usage: 0.44 GB, CPU: 12
2024-09-17 10:52:18,933 - Active threads: 158, Memory usage: 0.36 GB, CPU: 12
2024-09-17 10:53:18,933 - Active threads: 211, Memory usage: 0.53 GB, CPU: 12
2024-09-17 10:54:18,935 - Active threads: 183, Memory usage: 0.37 GB, CPU: 12
2024-09-17 10:55:18,936 - Active threads: 109, Memory usage: 0.37 GB, CPU: 12
2024-09-17 10:56:18,938 - Active threads: 254, Memory usage: 0.42 GB, CPU: 12
2024-09-17 10:57:18,938 - Active threads: 107, Memory usage: 0.39 GB, CPU: 12
2024-09-17 10:58:18,939 - Active threads: 145, Memory usage: 0.44 GB, CPU: 12
2024-09-17 10:59:18,944 - Active threads: 148, Memory usage: 0.46 GB, CPU: 12
2024-09-17 11:00:18,947 - Active threads: 157, Memory usage: 0.44 GB, CPU: 12
2024-09-17 11:01:18,948 - Active threads: 199, Memory usage: 0.53 GB, CPU: 12
2024-09-17 11:02:18,949 - Active threads: 135, Memory usage: 0.43 GB, CPU: 12
2024-09-17 11:03:18,952 - Active threads: 156, Memory usage: 0.40 GB, CPU: 12
2024-09-17 11:04:18,953 - Active threads: 195, Memory usage: 0.53 GB, CPU: 12
2024-09-17 11:05:18,955 - Active threads: 140, Memory usage: 0.48 GB, CPU: 12
2024-09-17 11:06:18,957 - Active threads: 160, Memory usage: 0.39 GB, CPU: 12
2024-09-17 11:07:18,958 - Active threads: 159, Memory usage: 0.49 GB, CPU: 12
2024-09-17 11:08:18,961 - Active threads: 137, Memory usage: 0.53 GB, CPU: 12
2024-09-17 11:09:18,961 - Active threads: 143, Memory usage: 0.50 GB, CPU: 12
2024-09-17 11:10:18,964 - Active threads: 138, Memory usage: 0.53 GB, CPU: 12
2024-09-17 11:11:18,964 - Active threads: 155, Memory usage: 0.50 GB, CPU: 12
2024-09-17 11:12:18,968 - Active threads: 148, Memory usage: 0.47 GB, CPU: 12
2024-09-17 11:13:18,969 - Active threads: 136, Memory usage: 0.49 GB, CPU: 12
2024-09-17 11:14:18,969 - Active threads: 205, Memory usage: 0.53 GB, CPU: 12
2024-09-17 11:15:18,970 - Active threads: 151, Memory usage: 0.44 GB, CPU: 12
2024-09-17 11:16:18,972 - Active threads: 110, Memory usage: 0.40 GB, CPU: 12
2024-09-17 11:17:18,978 - Active threads: 216, Memory usage: 0.42 GB, CPU: 12
2024-09-17 11:18:18,979 - Active threads: 146, Memory usage: 0.48 GB, CPU: 12
2024-09-17 11:19:18,980 - Active threads: 111, Memory usage: 0.40 GB, CPU: 12
2024-09-17 11:20:18,981 - Active threads: 148, Memory usage: 0.50 GB, CPU: 12
2024-09-17 11:21:18,983 - Active threads: 185, Memory usage: 0.41 GB, CPU: 12
2024-09-17 11:22:18,984 - Active threads: 215, Memory usage: 0.52 GB, CPU: 12
2024-09-17 11:23:18,984 - Active threads: 141, Memory usage: 0.46 GB, CPU: 12
2024-09-17 11:24:19,122 - Active threads: 156, Memory usage: 0.42 GB, CPU: 12
2024-09-17 11:25:19,129 - Active threads: 147, Memory usage: 0.49 GB, CPU: 12
2024-09-17 11:26:19,131 - Active threads: 154, Memory usage: 0.43 GB, CPU: 12
2024-09-17 11:27:19,132 - Active threads: 147, Memory usage: 0.44 GB, CPU: 12
2024-09-17 11:28:19,135 - Active threads: 135, Memory usage: 0.41 GB, CPU: 12
2024-09-17 11:29:19,135 - Active threads: 267, Memory usage: 0.46 GB, CPU: 12
2024-09-17 11:30:19,139 - Active threads: 149, Memory usage: 0.40 GB, CPU: 12
2024-09-17 11:31:19,140 - Active threads: 154, Memory usage: 0.41 GB, CPU: 12
2024-09-17 11:32:19,143 - Active threads: 112, Memory usage: 0.40 GB, CPU: 12
2024-09-17 11:33:19,144 - Active threads: 212, Memory usage: 0.46 GB, CPU: 12
2024-09-17 11:34:19,145 - Active threads: 159, Memory usage: 0.45 GB, CPU: 12
2024-09-17 11:35:19,146 - Active threads: 211, Memory usage: 0.51 GB, CPU: 12
2024-09-17 11:36:19,152 - Active threads: 135, Memory usage: 0.47 GB, CPU: 12
2024-09-17 11:37:19,153 - Active threads: 254, Memory usage: 0.56 GB, CPU: 12
2024-09-17 11:38:19,156 - Active threads: 136, Memory usage: 0.42 GB, CPU: 12
